"","V1","V2","V3","V4","V5","V6"
"395","muB",14.2,635751425.034916,0.247,0.184,1324.32381633702
"396","muB",14.3,635450416.261196,0.247,0.185,1302.17875295326
"397","muB",14.4,635141716.503868,0.247,0.185,1280.52893804491
"398","muB",14.5,634825325.673877,0.247,0.185,1259.36086312686
"399","muB",14.6,634511963.292016,0.248,0.185,1303.55583958791
"400","muB",14.7,634207967.461552,0.248,0.185,1281.93244665809
"401","muB",14.8,633896324.876645,0.248,0.186,1260.78903111877
"402","muB",14.9,633577036.176123,0.248,0.186,1240.11259378083
"403","muB",15,633268961.182349,0.249,0.186,1283.01265454862
"404","muB",15.1,632961931.951149,0.249,0.186,1261.9012086272
"405","muB",15.2,632647300.480633,0.249,0.186,1241.25486165397
"406","muB",15.3,632325068.140149,0.249,0.187,1221.06110795947
"407","muB",15.4,632022406.353961,0.25,0.187,1262.70174749881
"408","muB",15.5,631712300.026515,0.25,0.187,1242.09245206502
"409","muB",15.6,631394636.297406,0.25,0.187,1221.93376971066
"410","muB",15.7,631077997.409849,0.251,0.188,1263.1952518357
"411","muB",15.8,630772287.116397,0.251,0.188,1242.62981384398
"412","muB",15.9,630459062.657429,0.251,0.188,1222.51282708437
"413","muB",16,630138325.953655,0.251,0.188,1202.83235507803
"414","muB",16.1,629827504.39053,0.252,0.188,1242.87162987091
"415","muB",16.2,629518592.794722,0.252,0.189,1222.80280706225
"416","muB",16.3,629202211.852854,0.252,0.189,1203.16826174055
"417","muB",16.4,628878364.066743,0.252,0.189,1183.95651601364
"418","muB",16.5,628573462.638895,0.253,0.189,1222.80844252998
"419","muB",16.6,628261313.640052,0.253,0.189,1203.2259669358
